id,word,detail,code
231,disposer,dispose,11
232,disrupter,disrupt,11
233,dissaver,dissaving,11
234,dissector,dissect,11
235,dissembler,dissemble,11
236,disseminator,disseminate,11
237,dissipator,dissipate,11
238,dissuader,dissuade,11
239,distrainer,distrain,11
240,disturber,disturb,11
241,ditcher,ditch,11
242,ditherer,dither,11
243,diviner,divine,11
244,dobber,dob,11
245,dogfighter,dogfight,11
246,dominator,dominate,11
247,donator,donate,11
248,doodler,doodle,11
249,doper,dope,11
250,dotter,dot,11
251,doubler,double,11
252,downloader,download,11
253,downtowner,downtown,11
254,dowser,dowse,11
255,drafter,draft,11
256,dribbler,dribble,11
257,driller,drill,11
258,drover,drove,11
259,ducker,duck,11
260,dunker,dunk,11
261,eavesdropper,eavesdrop,11
262,edger,edge,11
263,electrolyser,electrolyse,11
264,electroreceptor,electroreception,11
265,elicitor,elicit,11
266,embalmer,embalm,11
267,embezzler,embezzle,11
268,embroiderer,embroider,11
269,emulator,emulate,11
270,enactor,enact,11
271,enameller,enamel,11
272,encoder,encode,11
273,encourager,encourage,11
274,endorser,endorse,11
275,energizer,energize,11
276,engraver,engrave,11
277,enjoyer,enjoy,11
278,enlightener,enlighten,11
279,enlister,enlist,11
280,enlivener,enliven,11
281,enquirer,enquire,11
282,enticer,entice,11
283,eradicator,eradicate,11
284,escaper,escape,11
285,espouser,espouse,11
286,establisher,establish,11
287,etcher,etch,11
288,ethnographer,ethnography,11
289,evader,evade,11
290,evaluator,evaluate,11
291,evaporator,evaporate,11
292,evoker,evoke,11
293,exaggerator,exaggerate,11
294,exchanger,exchange,11
295,excluder,exclude,11
296,exfoliator,exfoliate,11
297,exhauster,exhaust,11
298,exhorter,exhort,11
299,expander,expand,11
300,expediter,expedite,11
301,experiencer,experience,11
302,exploder,explode,11
303,exploiter,exploit,11
304,exposer,expose,11
305,expounder,expound,11
306,expropriator,expropriate,11
307,extortioner,extortion,11
308,fabricator,fabricate,11
309,factfinder,fact-finding,11
310,fanner,fan,11
311,fastener,fasten,11
312,favourer,favour,11
313,fearmonger,fearmongering,11
314,feaster,feast,11
315,fellator,fellatio,11
316,fencer,fence,11
317,feoffor,feoffment,11
318,ferreter,ferret,11
319,fibber,fib,11
320,fieldworker,fieldwork,11
321,fifer,fife,11
322,filer,file,11
323,filleter,fillet,11
324,fingerpicker,fingerpick,11
325,firer,fire,11
326,flagger,flag,11
327,flatliner,flatline,11
328,flattener,flatten,11
329,flinger,fling,11
330,flusher,flush,11
331,flutterer,flutter,11
332,fomenter,foment,11
333,fondler,fondle,11
334,forager,forage,11
335,forcer,force,11
336,forgetter,forget,11
337,formulator,formulate,11
338,fornicator,fornicate,11
339,fortifier,fortify,11
340,fowler,fowling,11
341,franchiser,franchise,11
342,franker,frank,11
343,freeholder,freehold,11
344,freestyler,freestyle,11
345,frisker,frisk,11
346,frontbencher,front bench,11
347,fumigator,fumigate,11
348,fundholder,fundholding,11
349,furtherer,further,11
350,gainer,gain,11
351,galloper,gallop,11
352,gatecrasher,gatecrash,11
353,gatherer,gather,11
354,gauger,gauge,11
355,gawker,gawk,11
356,gawper,gawp,11
357,gazer,gaze,11
358,gentrifier,gentrify,11
359,geomancer,geomancy,11
360,giggler,giggle,11
361,gilder,gild,11
362,ginner,gin,11
363,glassmaker,glassmaking,11
364,glazer,glaze,11
365,gleaner,glean,11
366,glosser,gloss,11
367,gossiper,gossip,11
368,gouger,gouge,11
369,grabber,grab,11
370,grafter,graft,11
371,grainer,grain,11
372,granter,grant,11
373,granulator,granulate,11
374,grappler,grapple,11
375,grazer,graze,11
376,grifter,grift,11
377,griller,grill,11
378,grinner,grin,11
379,gripper,grip,11
380,groaner,groan,11
381,groomer,groom,11
382,grouser,grouse,11
383,groveller,grovel,11
384,grudger,grudge,11
385,grumbler,grumble,11
386,guesser,guess,11
387,guider,guide,11
388,gunfighter,gunfight,11
389,guzzler,guzzle,11
390,gyrator,gyrate,11
391,haggler,haggle,11
392,hailer,hail,11
393,hankerer,hanker,11
394,harasser,harass,11
395,hardener,harden,11
396,harmonizer,harmonize,11
397,haunter,haunt,11
398,hearer,hear,11
399,heaver,heave,11
400,hedger,hedge,11
401,hellenizer,Hellenize,11
402,hibernator,hibernate,11
403,hider,hide,11
404,highlander,highland,11
405,hillwalker,hillwalking,11
406,hirer,hire,11
407,historiographer,historiography,11
408,hobbler,hobble,11
409,homesteader,homestead,11
410,homogenizer,homogenize,11
411,honeymooner,honeymoon,11
412,hoper,hope,11
413,hosteller,hostelling,11
414,housebreaker,housebreaking,11
415,housebuilder,housebuilding,11
416,housecleaner,housecleaning,11
417,hoverer,hover,11
418,huffer,huff,11
419,hugger,hug,11
420,humiliator,humiliate,11
421,hummer,hum,11
422,hydrator,hydrate,11
423,hydrographer,hydrography,11
424,hypothesizer,hypothesize,11
425,ignorer,ignore,11
426,illuminator,illuminate,11
427,imbiber,imbibe,11
428,impaler,impale,11
429,implementer,implement,11
430,improver,improve,11
431,improviser,improvise,11
432,inactivator,inactivate,11
433,inciter,incite,11
434,incorporator,incorporate,11
435,indemnifier,indemnify,11
436,indexer,index,11
437,inducer,induce,11
438,indulger,indulge,11
439,indweller,indwell,11
440,infiltrator,infiltrate,11
441,infractor,infract,11
442,infringer,infringe,11
443,inlander,inland,11
444,inoculator,inoculate,11
445,inquirer,inquire,11
446,inscriber,inscribe,11
447,inserter,insert,11
448,inspirer,inspire,11
449,instaurator,instauration,11
450,intender,intend,11
451,interferer,interfere,11
452,intermediator,intermediate,11
453,intervener,intervene,11
454,intoner,intone,11
455,intriguer,intrigue,11
456,introducer,introduce,11
457,invigilator,invigilate,11
458,invoker,invoke,11
459,ironer,iron,11
460,irrigator,irrigate,11
461,irritator,irritate,11
462,isolator,isolate,11
463,jailbreaker,jailbreak,11
464,jazzer,jazz,11
465,jerker,jerk,11
466,jingler,jingle,11
467,jiver,jive,11
468,journeyer,journey,11
469,jouster,joust,11
470,joyrider,joyride,11
471,justifier,justify,11
472,keynoter,keynote,11
473,keypuncher,keypunch,11
474,knapper,knap,11
475,knitter,knit,11
476,knotter,knot,11
477,knower,know,11
478,krautrocker,Krautrock,11
479,labeller,label,11
480,lacemaker,lacemaking,11
481,lacquerer,lacquer,11
482,lagger,lag,11
483,laminator,laminate,11
484,landscaper,landscape,11
485,launderer,launder,11
486,leaker,leak,11
487,leaper,leap,11
488,leaseholder,leasehold,11
489,leaser,lease,11
490,legger,leg,11
491,lengthener,lengthen,11
492,libeller,libel,11
493,liberalizer,liberalize,11
494,licenser,license,11
495,licensor,license,11
496,lifter,lift,11
497,ligger,lig,11
498,lingerer,linger,11
499,lithographer,lithography,11
500,lithotripter,lithotripsy,11
501,litigator,litigate,11
502,loaner,loan,11
503,loiterer,loiter,11
504,looter,loot,11
505,lowlander,lowland,11
506,lubricator,lubricate,11
507,luncher,lunch,11
508,lyncher,lynch,11
509,macerator,macerate,11
510,machinator,machinate,11
511,magnetizer,magnetize,11
512,magnifier,magnify,11
513,mainlander,mainland,11
514,mainliner,main line,11
515,mangler,mangle,11
516,mapper,map,11
517,marathoner,marathon,11
518,marbler,marble,11
519,marshaller,marshal,11
520,massager,massage,11
521,maximizer,maximize,11
522,measurer,measure,11
523,meddler,meddle,11
524,meditator,meditate,11
525,melter,melt,11
526,memorizer,memorize,11
527,mender,mend,11
528,merchandiser,merchandise,11
529,merrymaker,merrymaking,11
530,metalworker,metalwork,11
531,midlander,midland,11
532,migrator,migrate,11
533,mimer,mime,11
534,mincer,mince,11
535,misleader,mislead,11
536,misuser,misuse,11
537,moaner,moan,11
538,mobber,mob,11
539,mobilizer,mobilize,11
540,modeller,model,11
541,modernizer,modernize,11
542,modulator,modulate,11
543,mollifier,mollify,11
544,moonlighter,moonlight,11
545,moonwalker,moonwalk,11
546,moralizer,moralize,11
547,mortiser,mortise,11
548,mounter,mount,11
549,muckraker,muckrake,11
550,multiplexer,multiplex,11
551,mumbler,mumble,11
552,muncher,munch,11
553,mutator,mutate,11
554,mutilator,mutilate,11
555,mystifier,mystify,11
556,nagger,nag,11
557,natterer,natter,11
558,naysayer,naysay,11
559,necker,neck,11
560,needleworker,needlework,11
561,neutralizer,neutralize,11
562,newsgatherer,newsgathering,11
563,nightclubber,nightclub,11
564,nobbler,nobble,11
565,nominator,nominate,11
566,notator,notate,11
567,notcher,notch,11
568,nurturer,nurture,11
569,obstructor,obstruct,11
570,oceanographer,oceanography,11
571,odorizer,odorize,11
572,offerer,offer,11
573,ogler,ogle,11
574,opposer,oppose,11
575,optimizer,optimize,11
576,orchestrator,orchestrate,11
577,ordainer,ordain,11
578,overeater,overeat,11
579,overlander,overland,11
580,packager,package,11
581,paddler,paddle,11
582,palaeographer,palaeography,11
583,panhandler,panhandle,11
584,papermaker,papermaking,11
585,papular,papule,11
586,parer,pare,11
587,participator,participate,11
588,patroller,patrol,11
589,peacekeeper,peacekeeping,11
590,perceiver,perceive,11
591,perfecter,perfect,11
592,perforator,perforate,11
593,perjurer,perjure,11
594,petrographer,petrography,11
595,petter,pet,11
596,pewterer,pewter,11
597,photoconductor,photoconductivity,11
598,photomicrographer,photomicrograph,11
599,pilferer,pilfer,11
600,pillager,pillage,11
601,plater,plate,11
602,pleader,plead,11
603,plougher,plough,11
604,plucker,pluck,11
605,plugger,plug,11
606,plunderer,plunder,11
607,poisoner,poison,11
608,polarizer,polarize,11
609,polisher,polish,11
610,pollinator,pollinate,11
611,popularizer,popularize,11
612,postmodifier,postmodify,11
613,potholer,pothole,11
614,potterer,potter,11
615,pourer,pour,11
616,powerlifter,powerlifting,11
617,praiser,praise,11
618,prancer,prance,11
619,prattler,prattle,11
620,premodifier,premodify,11
621,preparer,prepare,11
622,preschooler,preschool,11
623,prescriber,prescribe,11
624,preserver,preserve,11
625,prestidigitator,prestidigitation,11
626,previewer,preview,11
627,pricer,price,11
628,pricker,prick,11
629,privatizer,privatize,11
630,prober,probe,11
631,proclaimer,proclaim,11
632,proliferator,proliferate,11
633,promulgator,promulgate,11
634,pronouncer,pronounce,11
635,proofreader,proofread,11
636,proposer,propose,11
637,propounder,propound,11
638,proselytizer,proselytize,11
639,prospector,prospect,11
640,prover,prove,11
641,provisioner,provision,11
642,provoker,provoke,11
643,pruner,prune,11
644,puddler,puddle,11
645,puller,pull,11
646,pulper,pulp,11
647,puncher,punch,11
648,punisher,punish,11
649,purger,purge,11
650,purifier,purify,11
651,quaffer,quaff,11
652,quarreller,quarrel,11
653,quarrier,quarry,11
654,quester,quest,11
655,quilter,quilt,11
656,radiographer,radiography,11
657,railer,rail,11
658,raker,rake,11
659,rallier,rally,11
660,rammer,ram,11
661,ransacker,ransack,11
662,rationalizer,rationalize,11
663,ravager,ravage,11
664,ravisher,ravish,11
665,realizer,realize,11
666,rearer,rear,11
667,reasoner,reason,11
668,reaver,reave,11
669,rebirther,rebirthing,11
670,rebuilder,rebuild,11
671,rebuker,rebuke,11
672,recharger,recharge,11
673,reciprocator,reciprocate,11
674,reciter,recite,11
675,reclaimer,reclaim,11
676,recognizer,recognize,11
677,recommender,recommend,11
678,reconciler,reconcile,11
679,recounter,recount,11
680,recycler,recycle,11
681,redactor,redact,11
682,redresser,redress,11
683,reducer,reduce,11
684,reeler,reel,11
685,referrer,refer,11
686,refiner,refine,11
687,refuser,refuse,11
688,regenerator,regenerate,11
689,rehearser,rehearse,11
690,reinforcer,reinforce,11
691,reinsurer,reinsure,11
692,reiver,reive,11
693,rejuvenator,rejuvenate,11
694,relapser,relapse,11
695,releaser,release,11
696,reminiscer,reminisce,11
697,remixer,remix,11
698,remonstrator,remonstrate,11
699,remover,remove,11
700,renderer,render,11
701,renewer,renew,11
702,renovator,renovate,11
703,reoffender,reoffend,11
704,repairer,repair,11
705,repeller,repel,11
706,replacer,replace,11
707,reproducer,reproduce,11
708,requester,request,11
709,requirer,require,11
710,requisitioner,requisition,11
711,resister,resist,11
712,resolver,resolve,11
713,responder,respond,11
714,restrainer,restrain,11
715,resuscitator,resuscitate,11
716,retarder,retard,11
717,retirer,retire,11
718,retoucher,retouch,11
719,returner,return,11
720,revealer,reveal,11
721,reverser,reverse,11
722,reviler,revile,11
723,reviser,revise,11
724,reviver,revive,11
725,rhymer,rhyme,11
726,riddler,riddle,11
727,righter,right,11
728,ringsider,ringside,11
729,rioter,riot,11
730,riveter,rivet,11
731,roamer,roam,11
732,roarer,roar,11
733,roisterer,roister,11
734,rouser,rouse,11
735,rubricator,rubricate,11
736,sailboarder,sailboard,11
737,salvager,salvage,11
738,sanctifier,sanctify,11
739,sanitizer,sanitize,11
740,saunterer,saunter,11
741,sayer,say,11
742,scaffolder,scaffold,11
743,scaler,scale,11
744,scarer,scare,11
745,scatterer,scatter,11
746,schmoozer,schmooze,11
747,schoolgoer,schoolgoing,11
748,scoffer,scoff,11
749,scooper,scoop,11
750,scourer,scour,11
751,scouter,scout,11
752,scrapper,scrap,11
753,scratcher,scratch,11
754,screecher,screech,11
755,screener,screen,11
756,scrummager,scrummage,11
757,scrutinizer,scrutinize,11
758,scryer,scry,11
759,seafarer,seafaring,11
760,searcher,search,11
761,seceder,secede,11
762,seconder,second,11
763,seiner,seine,11
764,sensitizer,sensitize,11
765,sequestrator,sequestrate,11
766,serenader,serenade,11
767,sexer,sex,11
768,shader,shade,11
769,shadower,shadow,11
770,shaper,shape,11
771,sharer,share,11
772,sharpener,sharpen,11
773,shatterer,shatter,11
774,shearer,shear,11
775,shelver,shelve,11
776,shirker,shirk,11
777,shoeshiner,shoeshine,11
778,shoplifter,shoplift,11
779,shotmaker,shotmaking,11
780,shouter,shout,11
781,shrinker,shrink,11
782,shuffler,shuffle,11
783,sifter,sift,11
784,sighter,sight,11
785,signaller,signal,11
786,signer,sign,11
787,sipper,sip,11
788,sizzler,sizzle,11
789,sketcher,sketch,11
790,skirmisher,skirmish,11
791,skiver,skive,11
792,skulker,skulk,11
793,skywriter,skywriting,11
794,slanderer,slander,11
795,slaughterer,slaughter,11
796,sledger,sledge,11
797,sleepwalker,sleepwalk,11
798,slicer,slice,11
799,slinger,sling,11
800,slitter,slit,11
801,slogger,slog,11
802,slumberer,slumber,11
803,smallholder,smallholding,11
804,smeller,smell,11
805,smiler,smile,11
806,smoocher,smooch,11
807,snarler,snarl,11
808,snatcher,snatch,11
809,sneerer,sneer,11
810,sneezer,sneeze,11
811,snogger,snog,11
812,snooper,snoop,11
813,snorer,snore,11
814,snorkeller,snorkel,11
815,snowboarder,snowboard,11
816,soaker,soak,11
817,soarer,soar,11
818,sojourner,sojourn,11
819,solderer,solder,11
820,solver,solve,11
821,sorter,sort,11
822,sower,sow,11
823,spacefarer,spacefaring,11
824,spacer,space,11
825,spawner,spawn,11
826,specifier,specify,11
827,speeder,speed,11
828,spellbinder,spellbind,11
829,spelunker,spelunking,11
830,spender,spend,11
831,spiller,spill,11
832,splicer,splice,11
833,spoofer,spoof,11
834,sportscaster,sportscast,11
835,spouter,spout,11
836,sprayer,spray,11
837,sprucer,spruce,11
838,squanderer,squander,11
839,squawker,squawk,11
840,squeezer,squeeze,11
841,squirter,squirt,11
842,stabber,stab,11
843,stacker,stack,11
844,stainer,stain,11
845,stammerer,stammer,11
846,stamper,stamp,11
847,stander,stand,11
848,starcher,starch,11
849,starer,stare,11
850,stealer,steal,11
851,steeplechaser,steeplechase,11
852,sterilizer,sterilize,11
853,stiffener,stiffen,11
854,stocktaker,stocktake,11
855,stomper,stomp,11
856,storer,store,11
857,straggler,straggle,11
858,straightener,straighten,11
859,strangler,strangle,11
860,stratigrapher,stratigraphy,11
861,strengthener,strengthen,11
862,strider,stride,11
863,striver,strive,11
864,stroker,stroke,11
865,struggler,struggle,11
866,strummer,strum,11
867,strutter,strut,11
868,stuffer,stuff,11
869,stumbler,stumble,11
870,stutterer,stutter,11
871,styler,style,11
872,submariner,submarine,11
873,submitter,submit,11
874,subverter,subvert,11
875,sulker,sulk,11
876,summarizer,summarize,11
877,summoner,summon,11
878,sunbather,sunbathe,11
879,superheater,superheat,11
880,supplanter,supplant,11
881,surfcaster,surfcasting,11
882,sustainer,sustain,11
883,swapper,swap,11
884,swearer,swear,11
885,swindler,swindle,11
886,systemizer,systemize,11
887,tacker,tack,11
888,tackler,tackle,11
889,tamer,tame,11
890,tapper,tap,11
891,taunter,taunt,11
892,taxer,tax,11
893,tedder,ted,11
894,telecaster,telecast,11
895,telegrapher,telegraph,11
896,telemarketer,telemarketing,11
897,teleworker,telework,11
898,temperer,temper,11
899,tenderer,tender,11
900,tenoner,tenon,11
901,tensioner,tension,11
902,thatcher,thatch,11
903,theatregoer,theatre-going,11
904,theorizer,theorize,11
905,thicknesser,thickness,11
906,threatener,threaten,11
907,thumper,thump,11
908,thunderer,thunder,11
909,tilter,tilt,11
910,tinkerer,tinker,11
911,tinter,tint,11
912,toiler,toil,11
913,tooter,toot,11
914,toper,tope,11
915,topographer,topography,11
916,topspinner,topspin,11
917,traducer,traduce,11
918,transactor,transact,11
919,transcriber,transcribe,11
920,transgressor,transgress,11
921,transposer,transpose,11
922,treader,tread,11
923,tricker,trick,11
924,troubleshooter,troubleshoot,11
925,truster,trust,11
926,tunneller,tunnel,11
927,tweaker,tweak,11
928,twiddler,twiddle,11
929,twiner,twine,11
930,twirler,twirl,11
931,typographer,typography,11
932,ulnar,ulna,11
933,ultrarunner,ultrarunning,11
934,underminer,undermine,11
935,understander,understand,11
936,unifier,unify,11
937,unloader,unload,11
938,unmasker,unmask,11
939,unpacker,unpack,11
940,unscrambler,unscramble,11
941,upgrader,upgrade,11
942,upholder,uphold,11
943,uplifter,uplift,11
944,upsetter,upset,11
945,utterer,utter,11
946,vaccinator,vaccinate,11
947,vanquisher,vanquish,11
948,varnisher,varnish,11
949,vasoconstrictor,vasoconstriction,11
950,vaulter,vault,11
951,verifier,verify,11
952,versifier,versify,11
953,vesicular,vesicle,11
954,vetoer,veto,11
955,vilifier,vilify,11
956,visher,vishing,11
957,vivisector,vivisect,11
958,volleyer,volley,11
959,volumizer,volumize,11
960,voyager,voyage,11
961,waffler,waffle,11
962,wailer,wail,11
963,waker,wake,11
964,wallower,wallow,11
965,wanter,want,11
966,warner,warn,11
967,warper,warp,11
968,wassailer,wassail,11
969,waterer,water,11
970,waterproofer,waterproof,11
971,waterskier,waterski,11
972,waverer,waver,11
973,waxer,wax,11
974,waylayer,waylay,11
975,weeder,weed,11
976,weigher,weigh,11
977,weightlifter,weightlifting,11
978,welcomer,welcome,11
979,westernizer,westernize,11
980,whetter,whet,11
981,whiner,whine,11
982,whinger,whinge,11
983,whipper,whip,11
984,whitener,whiten,11
985,widener,widen,11
986,wielder,wield,11
987,winker,wink,11
988,winkler,winkle,11
989,winnower,winnow,11
990,winterer,winter,11
991,wisecracker,wisecrack,11
992,wisher,wish,11
993,withstander,withstand,11
994,wonderer,wonder,11
995,woodcarver,woodcarving,11
996,woodturner,woodturning,11
997,woodworker,woodwork,11
998,wooer,woo,11
999,worrier,worry,11
1000,yapper,yap,11
1001,yearner,yearn,11
1002,yelper,yelp,11
1003,yodeller,yodel,11
1004,abductor,abduct,12
1005,accipiter,"From Latin, ‘hawk, bird of prey’.",2
1006,accommodator,accommodate,12
1007,accruer,"Mid 17th century. From accrue + -er, after nouns in the field of legal terminology with the ending -er derived from the infinitive forms of French verbs.",2
1008,acer,"From Latin, ‘maple’.",2
1009,achernar,"From Arabic, ‘end of the river (i.e. Eridanus)’.",2
1010,acidifier,Late 18th century. From acidify + -er.,2
1011,acker,"1930s; earliest use found in Eric Partridge (1894–1979), lexicographer and etymologist. Origin unknown.",2
1012,acquiror,Late 18th century. From acquire + -or. Compare earlier acquirer.,2
1013,acquisitor,"Late 17th century; earliest use found in Leonard Willan (fl. 1648–1670), writer. From post-classical Latin acquisitor person who acquires something from classical Latin acquīsīt-, past participial stem of acquīrere + -or.",2
1014,actor,act,12
1015,adder,add,12
1016,adductor,adduct,12
1017,adrenoceptor,1960s.,2
1018,adulter,"Late Middle English; earliest use found in The Wycliffite Bible (early version). From (i) Anglo-Norman avoutere, avouteire, avouter, avoutour, advouter, advoutoure and Middle French avoutre, also adultere, also adultre, used as both noun and adjective&lt;br&gt;late Middle English; earliest use found in The Wycliffite Bible (early version). From Middle French avoultrer, advoultrer, also Middle French adulterer to commit adultery, to alter, corrupt, falsify and its etymon classical Latin adulterāre to commit adultery (with), to defile by adultery, to mix (a substance) with another, to impair the purity or strength of, to counterfeit, to falsify or tamper with, to corrupt, debase from ad to + alter another.",2
1019,adulterer,adultery,12
1020,adventurer,adventure,12
1021,aerocar,Early 20th century; earliest use found in Flight International.,2
1022,aerogenerator,1940s.,2
1023,afar,Middle English of feor ‘from far’.,2
1024,afer,Late Middle English (in an earlier sense). From classical Latin Āfer African.,2
1025,affecter,Mid 16th century (in an earlier sense). From affect + -er.,2
1026,afrikaner,"Afrikaans, from South African Dutch Africander, from Dutch Afrikaan ‘an African’ + the personal suffix -der, on the pattern of Hollander ‘Dutchman’.",2
1027,afshar,"Early 20th century; earliest use found in The Decatur Review. From Afshar, Avshar (Turkish Avşar, also Afşar, self-designation; Persian Afšār), the name of one of the sub-clans of the Oghuz (Turkic) tribal confederation, now living in south-east Iran.",2
1028,after,"Old English æfter, of Germanic origin; related to Dutch achter.",2
1029,agar,Early 19th century: from Malay.,2
1030,agger,"Late Middle English; earliest use found in John Trevisa (c1342–?1402), translator. From classical Latin agger material for an earthwork, rubble, offensive earthwork, ramp, defensive earthwork, rampart, road or causeway raised above the level of the surrounding ground, mound or pile of earth or rubble, perhaps from aggerere.",2
1031,aggravator,aggravate,12
1032,aggregometer,1960s; earliest use found in Life Science. From aggreg- + -ometer.,2
1033,aggressor,aggress,12
1034,agonizer,Late 18th century; earliest use found in New Christian&#39;s Magazine. From agonize + -er.,2
1035,aider,"Late 15th century; earliest use found in William Caxton (1415x24–1492), printer, merchant, and diplomat. From aid + -er.",2
1036,aimer,"Late 16th century; earliest use found in Anthony Munday (d. 1633), playwright and translator. From aim + -er.",2
1037,alabaster,"Late Middle English: via Old French from Latin alabaster, alabastrum, from Greek alabastos, alabastros.",2
